"filename", "language", "C++", "comment", "blank", "total"
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\A_1.cpp", "C++", -95, -5, -34, -134
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\A_2.cpp", "C++", -96, -5, -35, -136
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\A_checker.cpp", "C++", -25, -4, -13, -42
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\A_gen.cpp", "C++", -28, 0, -12, -40
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\C_1.cpp", "C++", -146, -6, -55, -207
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\C_2.cpp", "C++", -158, -7, -59, -224
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\C_checker.cpp", "C++", -65, -2, -27, -94
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\C_gen.cpp", "C++", -13, 0, -6, -19
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\D_1.cpp", "C++", -72, -1, -37, -110
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\D_2.cpp", "C++", -72, -1, -37, -110
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\D_3.cpp", "C++", -76, -1, -39, -116
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\D_checker.cpp", "C++", -27, -2, -13, -42
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\D_gen.cpp", "C++", -17, 0, -6, -23
"d:\000 Noip\000 Code\Comp\24-06-01 MXOI-pre\test.cpp", "C++", -8, 0, -4, -12
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A.cpp", "C++", 51, 2, 25, 78
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_2.cpp", "C++", 39, 1, 18, 58
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_3.cpp", "C++", 36, 0, 16, 52
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_checker.cpp", "C++", 18, 0, 13, 31
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_gen.cpp", "C++", 13, 0, 7, 20
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_pai.cpp", "C++", 13, 0, 7, 20
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B.cpp", "C++", 68, 21, 27, 116
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_1.cpp", "C++", 54, 0, 19, 73
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_2.cpp", "C++", 30, 0, 11, 41
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_gen.cpp", "C++", 45, 0, 15, 60
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_pai.cpp", "C++", 13, 0, 5, 18
"Total", "-", -518, -10, -214, -742
