"filename", "language", "C++", "comment", "blank", "total"
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A.cpp", "C++", 51, 2, 25, 78
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_2.cpp", "C++", 39, 1, 18, 58
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_3.cpp", "C++", 36, 0, 16, 52
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_checker.cpp", "C++", 18, 0, 13, 31
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_gen.cpp", "C++", 13, 0, 7, 20
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\A_pai.cpp", "C++", 13, 0, 7, 20
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B.cpp", "C++", 68, 21, 27, 116
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_1.cpp", "C++", 54, 0, 19, 73
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_2.cpp", "C++", 30, 0, 11, 41
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_gen.cpp", "C++", 45, 0, 15, 60
"d:\000 Noip\000 Code\Comp\24-06-29 MX-Weekly-S\B_pai.cpp", "C++", 13, 0, 5, 18
"Total", "-", 380, 24, 163, 567
