"filename", "language", "C++", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"d:\OI\Code\ACWing\1010.cpp", "C++", 44, 0, 0, 0, 0, 11, 55
"d:\OI\Code\ACWing\1012.cpp", "C++", 48, 0, 0, 0, 0, 11, 59
"d:\OI\Code\ACWing\1014.cpp", "C++", 52, 0, 0, 0, 0, 11, 63
"d:\OI\Code\ACWing\1015.cpp", "C++", 45, 0, 0, 0, 0, 9, 54
"d:\OI\Code\ACWing\1016.cpp", "C++", 40, 0, 0, 0, 0, 5, 45
"d:\OI\Code\ACWing\1017.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\1018.cpp", "C++", 42, 0, 0, 0, 0, 9, 51
"d:\OI\Code\ACWing\1027.cpp", "C++", 51, 0, 0, 0, 0, 7, 58
"d:\OI\Code\ACWing\104.cpp", "C++", 34, 0, 0, 0, 0, 10, 44
"d:\OI\Code\ACWing\143.cpp", "C++", 74, 0, 0, 0, 0, 9, 83
"d:\OI\Code\ACWing\154.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\187.cpp", "C++", 58, 0, 0, 0, 0, 16, 74
"d:\OI\Code\ACWing\2.cpp", "C++", 35, 0, 0, 0, 0, 7, 42
"d:\OI\Code\ACWing\204.cpp", "C++", 97, 0, 0, 0, 0, 18, 115
"d:\OI\Code\ACWing\272.cpp", "C++", 43, 0, 0, 0, 0, 9, 52
"d:\OI\Code\ACWing\275.cpp", "C++", 52, 0, 0, 0, 0, 11, 63
"d:\OI\Code\ACWing\2816.cpp", "C++", 49, 0, 0, 0, 0, 6, 55
"d:\OI\Code\ACWing\3.cpp", "C++", 34, 0, 0, 0, 0, 7, 41
"d:\OI\Code\ACWing\3302.cpp", "C++", 82, 0, 0, 0, 0, 12, 94
"d:\OI\Code\ACWing\4.cpp", "C++", 51, 0, 0, 0, 0, 10, 61
"d:\OI\Code\ACWing\482.cpp", "C++", 52, 0, 0, 0, 0, 10, 62
"d:\OI\Code\ACWing\5.cpp", "C++", 17, 0, 0, 0, 0, 3, 20
"d:\OI\Code\ACWing\786.cpp", "C++", 34, 0, 0, 0, 0, 7, 41
"d:\OI\Code\ACWing\787.cpp", "C++", 54, 0, 0, 0, 5, 9, 68
"d:\OI\Code\ACWing\789.cpp", "C++", 72, 0, 0, 0, 0, 9, 81
"d:\OI\Code\ACWing\790.cpp", "C++", 37, 0, 0, 0, 0, 5, 42
"d:\OI\Code\ACWing\791.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\792.cpp", "C++", 100, 0, 0, 0, 0, 12, 112
"d:\OI\Code\ACWing\793.cpp", "C++", 50, 0, 0, 0, 0, 9, 59
"d:\OI\Code\ACWing\794.cpp", "C++", 54, 0, 0, 0, 0, 9, 63
"d:\OI\Code\ACWing\795.cpp", "C++", 41, 0, 0, 0, 0, 6, 47
"d:\OI\Code\ACWing\796.cpp", "C++", 56, 0, 0, 0, 0, 9, 65
"d:\OI\Code\ACWing\797.cpp", "C++", 56, 0, 0, 0, 0, 9, 65
"d:\OI\Code\ACWing\798.cpp", "C++", 83, 0, 0, 0, 0, 12, 95
"d:\OI\Code\ACWing\799.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\800.cpp", "C++", 48, 0, 0, 0, 0, 8, 56
"d:\OI\Code\ACWing\801.cpp", "C++", 45, 0, 0, 0, 0, 5, 50
"d:\OI\Code\ACWing\802.cpp", "C++", 75, 0, 0, 0, 0, 13, 88
"d:\OI\Code\ACWing\803.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"d:\OI\Code\ACWing\826.cpp", "C++", 79, 0, 0, 0, 0, 11, 90
"d:\OI\Code\ACWing\830.cpp", "C++", 42, 0, 0, 0, 0, 8, 50
"d:\OI\Code\ACWing\831.cpp", "C++", 51, 0, 0, 0, 0, 9, 60
"d:\OI\Code\ACWing\835.cpp", "C++", 71, 0, 0, 0, 0, 6, 77
"d:\OI\Code\ACWing\836.cpp", "C++", 64, 0, 0, 0, 0, 11, 75
"d:\OI\Code\ACWing\837.cpp", "C++", 85, 0, 0, 0, 0, 15, 100
"d:\OI\Code\ACWing\838_a.cpp", "C++", 57, 0, 0, 0, 0, 11, 68
"d:\OI\Code\ACWing\839.cpp", "C++", 102, 0, 0, 0, 4, 11, 117
"d:\OI\Code\ACWing\840.cpp", "C++", 68, 0, 0, 0, 0, 6, 74
"d:\OI\Code\ACWing\840_a.cpp", "C++", 44, 0, 0, 0, 4, 5, 53
"d:\OI\Code\ACWing\840_b.cpp", "C++", 41, 0, 0, 0, 0, 7, 48
"d:\OI\Code\ACWing\841.cpp", "C++", 66, 0, 0, 0, 0, 11, 77
"d:\OI\Code\ACWing\842.cpp", "C++", 41, 0, 0, 0, 0, 7, 48
"d:\OI\Code\ACWing\843.cpp", "C++", 69, 0, 0, 0, 0, 10, 79
"d:\OI\Code\ACWing\844.cpp", "C++", 74, 0, 0, 0, 0, 15, 89
"d:\OI\Code\ACWing\845.cpp", "C++", 70, 0, 0, 0, 0, 14, 84
"d:\OI\Code\ACWing\846.cpp", "C++", 71, 0, 0, 0, 0, 13, 84
"d:\OI\Code\ACWing\847.cpp", "C++", 66, 0, 0, 0, 0, 10, 76
"d:\OI\Code\ACWing\848.cpp", "C++", 86, 0, 0, 0, 0, 13, 99
"d:\OI\Code\ACWing\849.cpp", "C++", 87, 0, 0, 0, 0, 15, 102
"d:\OI\Code\ACWing\850.cpp", "C++", 91, 0, 0, 0, 0, 15, 106
"d:\OI\Code\ACWing\851.cpp", "C++", 96, 0, 0, 0, 0, 16, 112
"d:\OI\Code\ACWing\852.cpp", "C++", 114, 0, 0, 0, 0, 17, 131
"d:\OI\Code\ACWing\853.cpp", "C++", 78, 0, 0, 0, 0, 12, 90
"d:\OI\Code\ACWing\866.cpp", "C++", 52, 0, 0, 0, 0, 7, 59
