Date : 2024-10-08 19:22:49
Directory : d:\OI\Code
Total : 1257 files,  77129 codes, 502343 comments, 23049 blanks, all 602521 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |      1,247 |     76,799 |    502,342 |     22,957 |    602,098 |
| Python       |          7 |        307 |          1 |         72 |        380 |
| Markdown     |          2 |         22 |          0 |         20 |         42 |
| Shell Script |          1 |          1 |          0 |          0 |          1 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |      1,257 |     77,129 |    502,343 |     23,049 |    602,521 |
| . (Files)                                                                  |          6 |        385 |         29 |         70 |        484 |
| ACWing                                                                     |         85 |      4,977 |         13 |        811 |      5,801 |
| BOJ                                                                        |          2 |        162 |          6 |         58 |        226 |
| CSG                                                                        |          2 |        298 |          4 |         79 |        381 |
| CodeChef                                                                   |          1 |         62 |          3 |         18 |         83 |
| CodeforcesGym                                                              |          1 |         89 |          3 |         27 |        119 |
| CodeforcesVP                                                               |          9 |        292 |          3 |        111 |        406 |
| Comp                                                                       |        716 |     37,475 |    501,501 |     11,638 |    550,614 |
| CompRedo                                                                   |          4 |        414 |         15 |         88 |        517 |
| Comp\22-11-13 洛谷NOIP全程模拟                                                   |          6 |        334 |         15 |         59 |        408 |
| Comp\22-11-18 sg模拟                                                         |          5 |        380 |          3 |         38 |        421 |
| Comp\22-11-19 LGR                                                          |          6 |        392 |          1 |         64 |        457 |
| Comp\22-11-19 LGR2                                                         |          8 |        358 |          2 |         67 |        427 |
| Comp\22-11-19 LGR2 (Files)                                                 |          7 |        275 |          0 |         53 |        328 |
| Comp\22-11-19 LGR2\赛后                                                      |          1 |         83 |          2 |         14 |         99 |
| Comp\22-11-20 luogu模拟                                                      |          1 |         29 |          0 |          8 |         37 |
| Comp\22-11-20 sg模拟-J                                                       |          1 |         41 |          0 |         12 |         53 |
| Comp\22-11-20 sg模拟-S                                                       |          6 |        350 |         37 |         71 |        458 |
| Comp\22-11-21 coding c++                                                   |          8 |        140 |          0 |         41 |        181 |
| Comp\22-11-21 sg模拟-J                                                       |          4 |        158 |          0 |         33 |        191 |
| Comp\22-11-21 sg模拟-S                                                       |          2 |         30 |          0 |         13 |         43 |
| Comp\22-11-22 coding c++                                                   |          5 |        131 |          4 |         33 |        168 |
| Comp\22-11-22 sg模拟-J                                                       |          4 |        134 |         12 |         25 |        171 |
| Comp\22-11-22 sg模拟-S                                                       |          4 |        248 |          4 |         49 |        301 |
| Comp\22-11-23 coding c++                                                   |          5 |        252 |          5 |         46 |        303 |
| Comp\22-11-23 sg模拟-J                                                       |          5 |        237 |          2 |         42 |        281 |
| Comp\22-11-23 sg模拟-S                                                       |          3 |        105 |          0 |         23 |        128 |
| Comp\22-11-25 sg模拟-J                                                       |          2 |         88 |         17 |         11 |        116 |
| Comp\22-11-26 noip2022                                                     |          7 |        884 |        177 |        113 |      1,174 |
| Comp\22-11-26 noip2022 (Files)                                             |          4 |        464 |         87 |         66 |        617 |
| Comp\22-11-26 noip2022\曹天朗SD-867                                           |          3 |        420 |         90 |         47 |        557 |
| Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867                                 |          3 |        420 |         90 |         47 |        557 |
| Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\match                           |          2 |        168 |          8 |         22 |        198 |
| Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\plant                           |          1 |        252 |         82 |         25 |        359 |
| Comp\23-01-14 蓝桥杯test                                                      |          2 |         41 |          0 |          9 |         50 |
| Comp\23-01-15 蓝桥杯                                                          |          8 |        348 |          0 |         56 |        404 |
| Comp\23-01-15 蓝桥杯\1                                                        |          3 |         35 |          0 |          9 |         44 |
| Comp\23-01-15 蓝桥杯\2                                                        |          1 |         44 |          0 |          6 |         50 |
